State: PRELAUNCH, Time: 551.30s , Lat: 34.612453, Lon: 127.205940, Alt: 1.37m , P: 1026.15hPa , Euler: (177.82, 2.56, 33.18), Gyro: (0.000, 0.000, 0.000), Accel: (-0.00, -0.00, 0.00), Pos: (-0.11, -0.02, -0.03), kal: (alt : 1.369, velo : 0.494, apo : nan, r2 : 0.000 )
State: PRELAUNCH, Time: 551.32s , Lat: 34.612453, Lon: 127.205940, Alt: 1.44m , P: 1026.14hPa , Euler: (177.82, 2.56, 33.18), Gyro: (0.000, 0.000, 0.000), Accel: (0.00, 0.01, 0.00), Pos: (-0.11, -0.02, -0.03), kal: (alt : 1.399, velo : 0.680, apo : nan, r2 : 0.000 )
State: PRELAUNCH, Time: 551.33s , Lat: 34.612453, Lon: 127.205940, Alt: 1.36m , P: 1026.15hPa , Euler: (177.82, 2.56, 33.18), Gyro: (0.000, 0.000, 0.000), Accel: (-0.00, 0.00, 0.00), Pos: (-0.11, -0.02, -0.03), kal: (alt : 1.394, velo : 0.507, apo : nan, r2 : 0.000 )
State: PRELAUNCH, Time: 551.35s , Lat: 34.612453, Lon: 127.205940, Alt: 1.36m , P: 1026.15hPa , Euler: (177.83, 2.56, 33.18), Gyro: (0.000, 0.000, 0.000), Accel: (-0.00, 0.00, 0.00), Pos: (-0.11, -0.02, -0.03), kal: (alt : 1.389, velo : 0.358, apo : nan, r2 : 0.000 )
State: PRELAUNCH, Time: 551.37s , Lat: 34.612453, Lon: 127.205940, Alt: 1.37m , P: 1026.15hPa , Euler: (177.83, 2.56, 33.18), Gyro: (0.000, 0.000, 0.000), Accel: (-0.00, 0.01, 0.00), Pos: (-0.11, -0.02, -0.03), kal: (alt : 1.387, velo : 0.275, apo : nan, r2 : 0.000 )
State: PRELAUNCH, Time: 551.39s , Lat: 34.612453, Lon: 127.205940, Alt: 1.33m , P: 1026.16hPa , Euler: (177.85, 2.55, 33.18), Gyro: (0.000, 0.000, 0.000), Accel: (0.00, 0.01, 0.00), Pos: (-0.11, -0.02, -0.03), kal: (alt : 1.374, velo : 0.097, apo : nan, r2 : 0.000 )
State: PRELAUNCH, Time: 551.41s , Lat: 34.612453, Lon: 127.205940, Alt: 1.33m , P: 1026.16hPa , Euler: (177.86, 2.54, 33.18), Gyro: (0.000, 0.000, 0.000), Accel: (-0.00, 0.00, 0.00), Pos: (-0.11, -0.02, -0.03), kal: (alt : 1.363, velo : -0.031, apo : nan, r2 : 0.000 )
State: PRELAUNCH, Time: 551.43s , Lat: 34.612453, Lon: 127.205940, Alt: 1.35m , P: 1026.15hPa , Euler: (177.86, 2.54, 33.18), Gyro: (0.000, 0.000, 0.000), Accel: (0.00, 0.00, 0.00), Pos: (-0.11, -0.02, -0.03), kal: (alt : 1.359, velo : -0.059, apo : nan, r2 : 0.000 )
State: PRELAUNCH, Time: 551.45s , Lat: 34.612453, Lon: 127.205940, Alt: 1.33m , P: 1026.16hPa , Euler: (177.86, 2.54, 33.18), Gyro: (0.000, 0.000, 0.000), Accel: (0.00, 0.00, 0.00), Pos: (-0.11, -0.02, -0.03), kal: (alt : 1.349, velo : -0.147, apo : 1.421, r2 : 0.000 )
State: PRELAUNCH, Time: 551.47s , Lat: 34.612453, Lon: 127.205940, Alt: 1.33m , P: 1026.16hPa , Euler: (177.86, 2.54, 33.18), Gyro: (0.000, 0.000, 0.000), Accel: (0.00, -0.00, 0.00), Pos: (-0.11, -0.02, -0.03), kal: (alt : 1.340, velo : -0.198, apo : 1.370, r2 : 0.000 )
State: PRELAUNCH, Time: 551.49s , Lat: 34.612453, Lon: 127.205940, Alt: 1.28m , P: 1026.16hPa , Euler: (177.85, 2.54, 33.18), Gyro: (0.000, 0.000, 0.000), Accel: (0.00, -0.01, 0.00), Pos: (-0.11, -0.02, -0.03), kal: (alt : 1.320, velo : -0.358, apo : 1.408, r2 : 0.000 )
