time_sec,thrust_N
1.45,315.03321477265376
1.46,313.18509865563635
1.47,309.97188976091513
1.48,306.4747179525866
1.49,303.2623902461156
1.5,301.9283593542294
1.51,298.92861831310466
1.52,295.85661983546834
1.53,293.79349378541684
1.54,291.1306750717328
1.55,289.32331391128423
1.56,288.01404440922704
1.57,286.5901323158266
1.58,285.7862683346369
1.59,285.0606538700595
1.6,284.848904333551
1.61,280.9523780102592
1.62,279.4473525384335
1.63,275.99287430082416
1.64,273.19281051718093
1.65,271.9859791492025
1.66,270.4918363522659
1.67,268.64235439346066
1.68,266.75965163762515
1.69,264.12102154140746
1.7,261.0998235663918
1.71,256.072468361696
1.72,252.71016241505126
1.73,248.76393707445158
1.74,246.48029366480264
1.75,243.75614424890895
1.76,241.17408643835026
1.77,238.02568893942686
1.78,234.63544932525275
1.79,230.37732740351626
1.8,226.8026550885879
1.81,222.94089164176413
1.82,219.37864408116275
1.83,216.32849907212994
1.84,212.33799402196078
1.85,208.13604785117067
1.86,204.44483839016138
1.87,200.32823530139726
1.88,195.3584216894356
1.89,189.7571045180115
1.9,184.8498552718097
1.91,179.72935846907419
1.92,174.25598983157033
1.93,168.28497012980017
1.94,161.67152013426582
1.95,155.5710538785502
1.96,149.46992673164698
1.97,143.370826317719
1.98,136.75896246103497
1.99,130.78459424391428
2.0,125.3080973881224
2.01,119.67752476679365
2.02,114.90082355985005
2.03,110.18016592561533
2.04,106.38277328046422
2.05,102.57251528686112
2.06,99.47156977520775
2.07,96.51381735420208
2.08,92.61680637737271
2.09,89.6581727681169
2.1,86.04715143787031
2.11,82.36519445348752
2.12,79.193753881823
2.13,74.94206463431252
2.14,71.48776263435325
2.15,67.74839623547382
2.16,63.93655210302046
2.17,59.75650346024629
2.18,55.789702374005905
2.19,52.10686420137296
2.2,48.26638145079005
2.21,45.49169588875084
2.22,43.70962483108126
2.23,41.561111639591175
2.24,40.12570003952646
2.25,39.189481583165765
2.26,37.24350951097024
2.27,35.73892463326958
2.28,33.94949565371133
2.29,31.148991275943043
2.3,28.788552310294413
2.31,26.141947460412982
2.32,23.777983741763794
2.33,20.974439264532528
2.34,18.6689864456926
2.35,17.288560992436594
2.36,15.965060300139596
2.37,15.750799377118181
2.38,15.31615327273688
2.39,14.301376883876253
2.4,14.139811018213177
2.41,14.18946597610854
2.42,13.813507009186528
2.43,13.153805425719602
2.44,12.352232533980223
2.45,12.062982490871937
2.46,11.27520019524724
2.47,10.273068857776115
2.48,8.695257236488864
2.49,6.364866790169988
2.5,5.227561175127466
2.51,4.47863928133392
2.52,3.1826316624412754
2.53,2.0639631788892028
2.54,1.3363219813365252
2.55,1.2133962204420676
2.56,0.6138357350471635
2.57,0.12133962204420659
2.58,0.0
2.59,0.0
2.6,0.0
2.61,0.0
2.62,0.0
2.63,0.0
2.64,0.0
2.65,0.0
2.66,0.0
2.67,0.0
2.68,0.0
2.69,0.0
2.7,0.0
2.71,0.0
2.72,0.0
2.73,0.0
2.74,0.0
2.75,0.0
2.76,0.0
2.77,0.0
2.78,0.0
2.79,0.0
2.8,0.0
2.81,0.0
2.82,0.0
2.83,0.0
2.84,0.0
2.85,0.0
2.86,0.0
2.87,0.0
2.88,0.0
2.89,0.0
2.9,0.0
2.91,0.0
2.92,0.0
2.93,0.0
2.94,0.0
2.95,0.0
2.96,0.0
2.97,0.0
2.98,0.0
2.99,0.0
