time,pressure,pressure_smooth
2380,2.0175,2.0257867132867187
2390,2.0175,1.8915675990676042
2400,2.0175,1.87019813519814
2410,2.0175,1.8767657342657393
2420,1.615,1.8270396270396319
2430,1.2125,1.7397843822843868
2440,2.0175,1.633764568764573
2450,2.0175,1.595506993006997
2460,1.2125,1.4913111888111927
2470,1.2125,1.3587645687645722
2480,1.2125,1.1500757575757605
2490,1.2125,0.8418473193473215
2500,0.405,0.6914219114219132
2510,0.405,0.5923659673659689
2520,0.405,0.42094988344988454
2530,0.405,0.2729895104895112
2540,0.405,0.17674825174825223
2550,0.0,0.16048951048951093
2560,0.0,0.0811888111888114
2570,0.0,0.01604895104895107
2580,0.0,0.0
2590,0.0,0.0
2600,0.0,0.0
2610,0.0,0.0
2620,0.0,0.0
2630,0.0,0.0
2640,0.0,0.0
2650,0.0,0.0
2660,0.0,0.0
2670,0.0,0.0
2680,0.0,0.0
2690,0.0,0.0
2700,0.0,0.0
2710,0.0,0.0
2720,0.0,0.0
2730,0.0,0.0
2740,0.0,0.0
2750,0.0,0.0
2760,0.0,0.0
2770,0.0,0.0
2780,0.0,0.0
2790,0.0,0.0
2800,0.0,0.0
2810,0.0,0.0
2820,0.0,0.0
2830,0.0,0.0
2840,0.0,0.0
2850,0.0,0.0
2860,0.0,0.0
2870,0.0,0.0
2880,0.0,0.0
2890,0.0,0.0
2900,0.0,0.0
2910,0.0,0.0
2920,0.0,0.0
2930,0.0,0.0
2940,0.0,0.0
2950,0.0,0.0
2960,0.0,0.0
2970,0.0,0.0
2980,0.0,0.0
2990,0.0,0.0
